task,recipe,reference,mask_name,metric,is_primary,n,df,mean,std,ci95_low,ci95_high,seeds_json,seed_differences_json
convnext_cifar100,decreasing_ild,dense,random_keeps_first_0,ce,False,3,2,-3.0076754989624024,1.3267667231784726,-6.303546750820771,0.288195752895966,"[2000, 2001, 2002]","[-3.4832605117797852, -4.03110228729248, -1.5086636978149413]"
convnext_cifar100,decreasing_ild,dense,random_keeps_first_0,accuracy,False,3,2,0.2696666767199834,0.08731559364526086,0.05276271771433455,0.48657063572563225,"[2000, 2001, 2002]","[0.3076000064611435, 0.33160001039505005, 0.1698000133037567]"
convnext_cifar100,decreasing_ild,dense,random_keeps_first_0,excess_ce,False,3,2,-2.4418369881947832,1.3604865931423091,-5.8214730406685655,0.9377990642789991,"[2000, 2001, 2002]","[-2.9501217620849607, -3.475001367950439, -0.9003878345489498]"
convnext_cifar100,decreasing_ild,dense,random_keeps_first_0,accuracy_change,False,3,2,0.24186669290065765,0.0879488505935678,0.023389636428436555,0.46034374937287875,"[2000, 2001, 2002]","[0.28290002048015594, 0.301800012588501, 0.14090004563331604]"
convnext_cifar100,decreasing_ild,dense,random_keeps_first_1,ce,False,3,2,-2.814846437454224,1.2638779108342193,-5.9544932189155775,0.3248003440071292,"[2000, 2001, 2002]","[-3.8548646862030034, -3.1814933372497562, -1.4081812889099128]"
convnext_cifar100,decreasing_ild,dense,random_keeps_first_1,accuracy,False,3,2,0.2870999922355016,0.08600888799241692,0.07344207002035327,0.5007579144506499,"[2000, 2001, 2002]","[0.34439995884895325, 0.3287000209093094, 0.1881999969482422]"
convnext_cifar100,decreasing_ild,dense,random_keeps_first_1,excess_ce,False,3,2,-2.249007926686605,1.3023607933970318,-5.484251487982444,0.9862356346092347,"[2000, 2001, 2002]","[-3.321725936508179, -2.625392417907715, -0.7999054256439213]"
convnext_cifar100,decreasing_ild,dense,random_keeps_first_1,accuracy_change,False,3,2,0.25930000841617584,0.08722474619232344,0.04262172699439318,0.47597828983795853,"[2000, 2001, 2002]","[0.3196999728679657, 0.2989000231027603, 0.1593000292778015]"
convnext_cifar100,decreasing_ild,dense,random_keeps_first_2,ce,False,3,2,-4.448558182525635,1.833873712664257,-9.004153030901893,0.10703666585062255,"[2000, 2001, 2002]","[-5.8371083942413335, -5.138854861068726, -2.369711292266846]"
convnext_cifar100,decreasing_ild,dense,random_keeps_first_2,accuracy,False,3,2,0.32206666469573975,0.09101412574117278,0.09597504263219567,0.5481582867592838,"[2000, 2001, 2002]","[0.36619997024536133, 0.38260000944137573, 0.21740001440048218]"
convnext_cifar100,decreasing_ild,dense,random_keeps_first_2,excess_ce,False,3,2,-3.882719671758016,1.8721439985817976,-8.533383180624831,0.7679438371087981,"[2000, 2001, 2002]","[-5.303969644546509, -4.5827539417266845, -1.7614354290008545]"
convnext_cifar100,decreasing_ild,dense,random_keeps_first_2,accuracy_change,False,3,2,0.294266680876414,0.0917706833832717,0.06629566544295332,0.5222376963098747,"[2000, 2001, 2002]","[0.3414999842643738, 0.35280001163482666, 0.1885000467300415]"
convnext_cifar100,decreasing_ild,dense,delete_first_only,ce,False,3,2,2.174047837193807,1.0392077000025295,-0.40748720081412104,4.7555828752017355,"[2000, 2001, 2002]","[2.959748579406738, 2.566664461898804, 0.9957304702758787]"
convnext_cifar100,decreasing_ild,dense,delete_first_only,accuracy,False,3,2,-0.197066659728686,0.09651022057753858,-0.4368113382430803,0.042678018785708316,"[2000, 2001, 2002]","[-0.26669998466968536, -0.23759999871253967, -0.08689999580383301]"
convnext_cifar100,decreasing_ild,dense,delete_first_only,excess_ce,False,3,2,2.739886347961426,1.0009571016983596,0.2533710637012243,5.226401632221628,"[2000, 2001, 2002]","[3.4928873291015625, 3.1227653812408454, 1.6040063335418706]"
convnext_cifar100,decreasing_ild,dense,delete_first_only,accuracy_change,False,3,2,-0.22486664354801178,0.09521373438905509,-0.4613906718287182,0.011657384732694592,"[2000, 2001, 2002]","[-0.2913999706506729, -0.26739999651908875, -0.11579996347427368]"
gpt_wikitext103,constant_ild,dense,full,ce,False,3,2,0.13342582371822864,0.023228664511373755,0.07572262220990966,0.19112902522654762,"[2000, 2001, 2002]","[0.10760546118263292, 0.15262508392333984, 0.14004692604871316]"
gpt_wikitext103,constant_ild,dense,full,accuracy,False,3,2,-0.0147132674853007,0.0026499579295921724,-0.021296127912982757,-0.008130407057618642,"[2000, 2001, 2002]","[-0.011825919151306152, -0.017034262418746948, -0.015279620885848999]"
gpt_wikitext103,constant_ild,dense,full,excess_ce,False,3,2,0.0,0.0,0.0,0.0,"[2000, 2001, 2002]","[0.0, 0.0, 0.0]"
gpt_wikitext103,constant_ild,dense,full,accuracy_change,False,3,2,0.0,0.0,0.0,0.0,"[2000, 2001, 2002]","[0.0, 0.0, 0.0]"
gpt_wikitext103,constant_ild,dense,primary_two_thirds,ce,False,3,2,-3.972760794931635,0.5357903183477493,-5.303737730376561,-2.6417838594867087,"[2000, 2001, 2002]","[-4.561295156556417, -3.843695745235537, -3.5132914830029502]"
