config,seed,retained,layers,keeps_first,is_prefix,is_odd_layers,is_even_layers,ce,accuracy,perplexity,full_ce,excess_ce,perplexity_ratio_vs_full
decreasing_ild,100,4,"1,2,5,6",True,False,False,False,2.1367454826831818,0.37744140625,8.471821025672373,2.1234680116176605,0.01327747106552124,1.0133660080998255
decreasing_ild,100,4,"1,3,4,5",True,False,False,False,2.1429907977581024,0.371826171875,8.524895779004224,2.1234680116176605,0.019522786140441895,1.0197146019560692
decreasing_ild,100,4,"1,3,4,6",True,False,False,False,2.142380654811859,0.3746337890625,8.519695960454822,2.1234680116176605,0.01891264319419861,1.0190926200527355
decreasing_ild,100,4,"1,3,5,6",True,False,False,False,2.148453325033188,0.3707275390625,8.571590674673407,2.1234680116176605,0.024985313415527344,1.0253000622578776
decreasing_ild,100,4,"1,4,5,6",True,False,False,False,2.1558071076869965,0.3699951171875,8.634856626413226,2.1234680116176605,0.03233909606933594,1.0328676873020017
decreasing_ild,100,4,"2,3,4,5",False,False,False,False,5.1397106647491455,0.0706787109375,170.66638137670733,2.1234680116176605,3.016242653131485,20.414443257059975
decreasing_ild,100,4,"2,3,4,6",False,False,False,False,5.427943408489227,0.0704345703125,227.6805177785337,2.1234680116176605,3.3044753968715668,27.234250667497125
decreasing_ild,100,4,"2,3,5,6",False,False,False,False,5.385165154933929,0.0618896484375,218.14612904206888,2.1234680116176605,3.261697143316269,26.09378447678502
decreasing_ild,100,4,"2,4,5,6",False,False,False,False,5.339637994766235,0.0765380859375,208.43724125758155,2.1234680116176605,3.216169983148575,24.932445394261826
decreasing_ild,100,4,"3,4,5,6",False,False,False,False,4.816264092922211,0.100830078125,123.50283273397797,2.1234680116176605,2.69279608130455,14.772924524419917
